,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
0,HRES5,Adopting the Rules of the House for the One Hundred Fifth Congress.,,R,1997-01-07,,,0,0,0,0,Congress,Provides for the adoption of the Rules of the House of Representatives of the 104th Congress as the Rules of the House for the 105th Congress with amendments as outlined in this resolution. (Sec. 1) Amends rule I (duties of the Speaker) to allow the Speaker to postpone (for consideration within two legislative days) further proceedings on a vote objected to on the grounds that a quorum is not present with respect to the question of: (1) agreeing to a motion to recommit a bill considered from ...,7,3
1,SCONRES3,A concurrent resolution providing for a recess or adjournment of the Senate from January 9 1997 to January 21 1997 and an adjournment of the House from January 9 1997 to January 20 1997 from January 20 1997 to January 21 1997 and from January 21 1997 to February 4 1997.,,R,1997-01-07,,,0,0,0,0,Congress,Provides for a recess or adjournment of the Senate on January 9 1997 until January 21 1997 and an adjournment of the House of Representatives on: (1) January 9 1997 until January 20 1997; (2) January 20 1997 until January 21 1997; and (3) January 21 1997 until February 4 1997.,6,1
2,HRES31,In the matter of Representative Newt Gingrich.,,R,1997-01-21,,,0,0,0,0,Congress,Adopts the report of the Select Committee on Ethics dated January 17 1997 regarding Representative Newt Gingrich.,6,1
3,HR499,"To designate the facility of the United States Postal Service under construction at 7411 Barlite Boulevard in San Antonio Texas as the ""Frank M. Tejeda Post Office Building"".",,R,1997-02-04,,,27,12,15,0,Commemorations,Designates the U.S. Postal Service facility under construction at 7411 Barlite Boulevard in San Antonio Texas as the Frank M. Tejeda Post Office Building.,15,1
4,HJRES2,Proposing an amendment to the Constitution of the United States with respect to the number of terms of office of Members of the Senate and the House of Representatives.,,R,1997-01-07,,,138,132,6,1,Congress,Constitutional Amendment - Makes any person who has been elected for a full term: (1) two times to the Senate ineligible for election or appointment to the Senate; or (2) six times to the House ineligible for election to the House. Bars any person who has served as a: (1) Senator for more than three years of a term to which some other person was elected from being subsequently eligible for election to the Senate more than once; and (2) Representative for more than one year from being subseque...,36,11
5,HJRES36,Approving the Presidential finding that the limitation on obligations imposed by section 518A(a) of the Foreign Operations Export Financing and Related Programs Appropriations Act of 1997 is having a negative impact on the proper functioning of the population planning program.,,R,1997-02-04,,,1,0,1,0,International affairs,Approves the presidential finding submitted to the Congress on January 31 1997 that the limitation on obligations imposed by a specified section of the Foreign Operations Export Financing and Related Programs Appropriations Act 1997 is having a negative impact on the proper functioning of the population planning program.,20,2
6,HR581,To amend Public Law 104-208 to provide that the President may make funds appropriated for population planning and other population assistance available on March 1 1997 subject to restrictions on assistance to foreign organizations that perform or actively promote abortions.,Family Planning Facilitation and Abortion Funding Restriction Act of 1997,R,1997-02-04,,,2,1,1,0,International affairs,Family Planning Facilitation and Abortion Funding Restriction Act of 1997 - Amends the Omnibus Consolidated Appropriations Act 1997 to authorize the President to make certain population planning assistance to developing countries available on March 1 1997 (currently July 1 1997). Prohibits the availability of appropriated funds for population activities to any private nongovernmental or multilateral organization until it certifies that it does not now and will not during the period for ...,13,1
7,HR624,To amend the Armored Car Industry Reciprocity Act of 1993 to clarify certain requirements and to improve the flow of interstate commerce.,Armored Car Reciprocity Amendments of 1998,R,1997-02-06,,,2,1,1,0,Crime and law enforcement,Armored Car Reciprocity Amendments of 1997 - Amends the Armored Car Industry Reciprocity Act of 1993 to revise requirements for State reciprocity of weapons licenses for armored car company crew members. Requires such a crew member to have met all requirements to act as an armored car crew member in the State in which such member is primarily employed by the company. Prescribes minimum State requirements for renewal of a weapons license including continuing training in weapons safety and mar...,26,1
8,HR497,An Act to amend the Federal charter for Group Hospitalization and Medical Services Inc. and for other purposes.,,R,1997-02-04,,,9,3,6,0,Government operations and politics,Amends the Federal charter of Group Hospitalization and Medical Services Inc. to: (1) permit the corporation to have one class of members consisting of at least one member and not more than 30; and (2) prohibit dissolution of the corporation without congressional approval. Deems enrollment in a health benefits plan administered by the Federal Deposit Insurance Corporation (FDIC) before termination of such plan on January 3 1998 or enrollment in a plan with respect to which the eligibility...,19,1
9,HR668,To amend the Internal Revenue Code of 1986 to reinstate the Airport and Airway Trust Fund excise taxes and for other purposes.,Airport and Airway Trust Fund Tax Reinstatement Act of 1997,R,1997-02-11,,,0,0,0,0,Taxation,Airport and Airway Trust Fund Tax Reinstatement Act of 1997 - Amends the Internal Revenue Code to restore the Airport and Airway Trust Fund excise taxes. Extends authority to transfer revenue to such Fund.,19,1
