,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
0,HRES5,Adopting rules for the One Hundred Ninth Congress.,,R,2005-01-04,,,0,0,0,0,Congress,Adopts the Rules of the House of Representatives for the 108th Congress as the Rules for the 109th Congress with certain amendments. (Sec. 2) Amends Rule X (Organization of Committees) to establish the House Committee on Homeland Security (thus abolishing the Select Committee on Homeland Security established by H.Res. 5 108th Congress). Grants legislative jurisdiction to the Committee for: (1) overall homeland security policy; (2) organization and administration of the Department of Homelan...,11,4
1,HCONRES16,Congratulating the people of Ukraine for conducting a democratic transparent and fair runoff presidential election on December 26 2004 and congratulating Viktor Yushchenko on his election as President of Ukraine and his commitment to democracy and reform.,,R,2005-01-06,,,11,6,5,0,International affairs,Commends the people and Government of Ukraine for their commitment to democracy and their determination to end the political crisis in that country in a peaceful and democratic manner. Congratulates: (1) the people and Government of Ukraine for ensuring a free and fair runoff presidential election; and (2) Viktor Yushchenko on his election as President of Ukraine. Applauds the Ukrainian presidential candidates the European Union and other European representatives and the U.S. Government for...,9,1
2,HRES39,Commending countries and organizations for marking the 60th anniversary of the liberation of Auschwitz and urging a strengthening of the fight against racism intolerance bigotry prejudice discrimination and anti-Semitism.,,D,2005-01-25,,,78,26,53,0,International affairs,Recognizes the sacrifices service and dedication of Allied soldiers and partisans and underground fighters that resulted in the defeat of the Nazi regime and the liberation of Auschwitz and other World War II concentration camps. Expresses gratitude to individuals and organizations that assisted survivors of Nazi brutality. Commends countries marking the 60th anniversary (on January 27 2005) of the liberation of Auschwitz as well as the United Nations General Assembly and other internatio...,8,1
3,HR54,To amend title 31 United States Code to provide reasonable standards for congressional gold medals and for other purposes.,Congressional Gold Medal Enhancement Act of 2005,R,2005-01-04,,,0,0,0,0,Commemorations,Congressional Gold Medal Enhancement Act of 2005 - Sets forth standards under which the Secretary of the Treasury beginning on the date of the enactment of this Act is authorized to strike not more than two congressional gold medals for presentation during any calendar year. Provides that: (1) only an individual may be a recipient of a congressional gold medal; and (2) no gold medal may be presented posthumously on behalf of any individual except during the 20-year period beginning five yea...,22,4
4,HRES23,Honoring the contributions of Catholic schools.,,R,2005-01-04,,,26,18,8,0,Commemorations,Expresses support for the goals of Catholic Schools Week an event cosponsored by the National Catholic Educational Association and the United States Conference of Catholic Bishops and established to recognize the vital contributions of America's thousands of Catholic elementary and secondary schools.,8,1
5,HR120,"To designate the facility of the United States Postal Service located at 30777 Rancho California Road in Temecula California as the ""Dalip Singh Saund Post Office Building"".",,R,2005-01-04,,,54,21,33,0,Commemorations,"Designates the facility of the United States Postal Service located at 30777 Rancho California Road in Temecula California as the ""Dalip Singh Saund Post Office Building.""",17,1
6,HCONRES36,Expressing the continued support of Congress for equal access of military recruiters to institutions of higher education.,,R,2005-02-01,,,24,24,0,0,Armed forces and national security,Expresses the continued support of Congress for and encourages the executive branch to continue challenging any judicial decision against specified provisions of Federal law prohibiting making certain Federal contracts with or grants to institutions of higher education that prevent military recruiters from having access to their campuses and to certain information about their students.,14,1
7,HRES56,Commending the Palestinian people for conducting a free and fair presidential election on January 9 2005 and for other purposes.,,R,2005-02-01,,,3,1,2,0,International affairs,Commends the Palestinian people for conducting a free and fair presidential election. Congratulates the new Palestinian President Mahmoud Abbas. Urges the Palestinian leadership to continue to advance democratic ideals. Condemns terrorism and urges President Mahmoud Abbas to immediately take steps to dismantle the Palestinian terrorist infrastructure consolidate the Palestinian security organizations and end the incitement to violence and hatred in Palestinian media and institutions. Urges...,8,1
8,HRES57,Urging the European Union to maintain its arms embargo on the People's Republic of China.,,R,2005-02-01,,,11,8,3,0,International affairs,Reaffirms the U.S. arms embargo on the People's Republic of China (PRC) and finds that policies by the United States and other countries which promote democratic rather than military development in the PRC will help assure a stable and peaceful Asia and Pacific region. Deplores the recent increase in arms sales by member states of the European Union (EU) to the PRC and the European Council's decision to finalize work toward lifting its arms embargo on the PRC. Declares that such a developmen...,8,1
9,HRES60,Relating to the free election in Iraq held on January 30 2005.,,R,2005-02-01,,,12,7,6,0,International affairs,Congratulates the people of Iraq and the elected candidates for having taken part in the historic 2005 Iraqi election and offers continued support as they deal with the consequences of decades of misrule under Saddam Hussein. Thanks the Interim Government of Iraq and the Independent Electoral Commission of Iraq Iraqi and Coalition security forces and the civilian U.S. and international partners for their efforts to create the conditions in which a free election could be held. Expresses con...,13,1
10,HRES46,Supporting the goals and ideals of National Mentoring Month.,,R,2005-01-25,,,30,9,21,0,Commemorations,Supports the goals and ideals of National Mentoring Month including efforts to recruit more mentors in the United States. Praises the millions of caring adults who have already committed their time and energy to mentor a child.,8,1
11,HR315,"To designate the United States courthouse at 300 North Hogan Street Jacksonville Florida as the ""John Milton Bryan Simpson United States Courthouse"".",,D,2005-01-25,,,1,1,0,0,Commemorations,"Designates the U.S. courthouse at 300 North Hogan Street Jacksonville Florida as the ""John Milton Bryan Simpson United States Courthouse.""",18,1
12,HR548,"To designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton Ohio as the ""Tony Hall Federal Building and United States Courthouse"".",,R,2005-02-02,,,17,11,6,0,Commemorations,Designates the Federal building and U.S. courthouse located at 200 West 2nd Street in Dayton Ohio as the Tony Hall Federal Building and United States Courthouse.,10,1
13,HRES71,Providing for consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver's license and identification document security standards to prevent terrorists from abusing the asylum laws of the United States to unify terrorism-related grounds for inadmissibility and removal and to ensure expeditious construction of the San Diego border fence.,,R,2005-02-08,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver's license and identification document security standards to prevent terrorists from abusing the asylum laws of the United States to unify terrorism-related grounds for inadmissibility and removal and to ensure expeditious construction of the San Diego border fence.,9,1
14,HCONRES6,Expressing the sense of the Congress that the Department of Defense should continue to exercise its statutory authority to support the activities of the Boy Scouts of America in particular the periodic national and world Boy Scout Jamborees.,,R,2005-01-04,,,38,31,7,0,Armed forces and national security,Expresses the sense of Congress that the Department of Defense should continue to exercise its long-standing statutory authority to support activities of the Boy Scouts of America particularly the periodic national and world Boy Scout Jamborees.,11,1
15,HCONRES26,Honoring the Tuskegee Airmen for their bravery in fighting for our freedom in World War II and for their contribution in creating an integrated United States Air Force.,,R,2005-01-25,,,62,28,35,0,Commemorations,Declares the sense of Congress that the U.S. Air Force should continue to honor and learn from the example provided by the Tuskegee Airmen as it faces the challenges of the 21st century and the war on terror.,13,1
16,HCONRES30,Supporting the goals and ideals of National Black HIV/AIDS Awareness Day.,,D,2005-01-26,,,59,1,58,0,Commemorations,Expresses support for the goals and ideals of National Black HIV/AIDS Awareness Day (February 7) and recognizes the fifth anniversary of its observation. Encourages: (1) State and local governments to recognize such day publicize its importance among their communities and encourage individuals to undergo HIV testing; (2) media organizations to carry messages in support of such day; (3) enactment of effective HIV prevention programs; and (4) States to enact HIV surveillance programs consiste...,12,1
17,HRES75,Providing for further consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver's license and identification document security standards to prevent terrorists from abusing the asylum laws of the United States to unify terrorism-related grounds for inadmissibility and removal and to ensure expeditious construction of the San Diego border fence.,,R,2005-02-09,,,0,0,0,0,Congress,Sets forth the rule for the consideration of H.R. 418 (Real ID Act of 2005).,8,1
18,HR418,To establish and rapidly implement regulations for State driver's license and identification document security standards to prevent terrorists from abusing the asylum laws of the United States to unify terrorism-related grounds for inadmissibility and removal and to ensure expeditious construction of the San Diego border fence.,REAL ID Act of 2005,R,2005-01-26,,,140,138,2,0,Immigration,REAL ID Act of 2005 - Title I: Amendments to Federal Laws to Protect Against Terrorist Entry - (Sec. 101) Amends Immigration and Nationality Act (INA) provisions concerning asylum to: (1) authorize the Secretary of Homeland Security in addition to the Attorney General to grant asylum (retroactive to March 1 2003); (2) require asylum applicants to prove that race religion nationality membership in a particular social group or political opinion was or will be (if removed) the central rea...,33,4
19,HCONRES25,"Recognizing the contributions of Jibreel Khazan (Ezell Blair Jr.) David Richmond Joseph McNeil and Franklin McCain the ""Greensboro Four"" to the civil rights movement.",,D,2005-01-25,,,64,7,56,0,Commemorations,Recognizes the contributions of Jibreel Khazan (Ezell Blair Jr.) David Richmond Joseph McNeil and Franklin McCain known as the Greensboro Four to the civil rights movement (through their lunch counter sit-in in Greensboro North Carolina in 1960).,9,1
20,HR324,"To designate the facility of the United States Postal Service located at 321 Montgomery Road in Altamonte Springs Florida as the ""Arthur Stacey Mastrapa Post Office Building"".",,R,2005-01-25,,,24,17,7,0,Commemorations,"Designates the facility of the United States Postal Service located at 321 Montgomery Road in Altamonte Springs Florida as the ""Arthur Stacey Mastrapa Post Office Building.""",17,1
21,HRES95,Providing for consideration of the bill (H.R. 310) to increase the penalties for violations by television and radio broadcasters of the prohibitions against transmission of obscene indecent and profane material and for other purposes.,,R,2005-02-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 310) to increase the penalties for violations by television and radio broadcasters of the prohibitions against transmission of obscene indecent and profane material.,10,1
22,HR310,To increase the penalties for violations by television and radio broadcasters of the prohibitions against transmission of obscene indecent and profane material and for other purposes.,Broadcast Decency Enforcement Act of 2005,R,2005-01-25,,,67,53,14,0,"Science, technology, communications",Broadcast Decency Enforcement Act of 2005 - (Sec. 2) Amends the Communications Act of 1934 to provide that if the violator of the terms and conditions of any Federal Communications Commission (FCC) license permit or certificate is either a broadcast station licensee or permittee or an applicant for a broadcast license permit or certificate and such violator is determined by the FCC to have broadcast obscene indecent or profane material the amount of forfeiture penalty shall not exceed...,19,1
23,S5,A bill to amend the procedures that apply to consideration of interstate class actions to assure fairer outcomes for class members and defendants and for other purposes.,Class Action Fairness Act of 2005,R,2005-01-25,,,33,25,8,0,Law,Class Action Fairness Act of 2005 - (Sec. 3) Amends the Federal judicial code to specify the calculation of contingent and other attorney's fees in proposed class action settlements that provide for the award of coupons to class members. Prohibits a Federal district court from approving: (1) a proposed coupon settlement absent a finding that the settlement is fair reasonable and adequate; (2) a proposed settlement involving payments to class counsel that would result in a net monetary loss ...,29,8
24,HRES91,Condemning the terrorist bombing attack that occurred on February 14 2005 in Beirut Lebanon that killed former Lebanese Prime Minister Rafik Hariri and killed and wounded others.,,D,2005-02-14,,,28,14,14,0,International affairs,Condemns the February 14 2005 terrorist bombing in Beirut Lebanon that killed former Lebanese Prime Minister Rafik Hariri and killed and wounded others. Extends condolences to the families of the victims and to the people of Lebanon. Recognizes the significant contributions Rafik Hariri made during his lifetime. Reaffirms the right of the people of Lebanon to choose their leaders free from intimidation terror and foreign occupation in accordance with United Nations (UN) Security Council...,9,1
25,HCONRES5,Providing for the acceptance of a statue of Sarah Winnemucca presented by the people of Nevada for placement in National Statuary Hall and for other purposes.,,R,2005-01-04,,,2,1,1,0,Commemorations,Accepts in the name of the United States the statue of Sarah Winnemucca furnished by the people of Nevada for placement in the U.S. Capitol. Extends the thanks of Congress to the people of Nevada for providing this commemoration of one of the most eminent persons from Nevada. Authorizes the State of Nevada to use the Rotunda of the Capitol on March 9 2005 for a presentation ceremony for the statue. Declares that the statue shall be displayed in the Rotunda of the Capitol for up to six month...,10,1
26,HCONRES63,Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,,R,2005-02-15,,,8,6,2,0,Commemorations,Authorizes the use of the Capitol rotunda on May 5 2005 for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust.,10,1
27,HRES126,Providing for consideration of the bill (H.R. 27) to enhance the workforce investment system of the Nation by strengthening one-stop career centers providing for more effective governance arrangements promoting access to a more comprehensive array of employment training and related services establishing a targeted approach to serving youth and improving performance accountability and for other purposes.,,R,2005-03-01,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 27) to enhance the workforce investment system of the Nation by strengthening one-stop career centers providing for more effective governance arrangements promoting access to a more comprehensive array of employment training and related services establishing a targeted approach to serving youth and improving performance accountability.,10,1
28,HR912,To ensure the protection of beneficiaries of United States humanitarian assistance.,Humanitarian Assistance Code of Conduct Act of 2005,D,2005-02-17,,,19,13,6,0,International affairs,Humanitarian Assistance Code of Conduct Act of 2005 - Prohibits the obligation of specified funds for foreign operations export financing and related programs to an organization that fails to adopt a code of conduct that provides for the protection of beneficiaries of assistance from sexual exploitation and abuse in humanitarian relief operations. Requires the code of conduct to the maximum extent practicable to be consistent with the following six core principles of the United Nations (U...,9,1
29,HR27,To enhance the workforce investment system of the Nation by strengthening one-stop career centers providing for more effective governance arrangements promoting access to a more comprehensive array of employment training and related services establishing a targeted approach to serving youth and improving performance accountability and for other purposes.,Workforce Investment Act Amendments of 2005,R,2005-01-04,,,15,15,0,0,Labor and employment,Workforce Investment Act Amendments of 2005 [sic] - Revises and reauthorizes appropriations through FY2011 for: (1) Workforce Investment Systems for job training and employment services under title I of the Workforce Investment Act of 1998 (WIA-I); (2) Adult Basic Skills Education including adult education and family literacy programs under WIA title II (WIA-II); and (3) vocational rehabilitation services under the Rehabilitation Act of 1973 (RA). Title I: Amendments to Title I of the Workf...,38,5
30,HR841,To require States to hold special elections to fill vacancies in the House of Representatives not later than 49 days after the vacancy is announced by the Speaker of the House of Representatives in extraordinary circumstances.,Continuity in Representation Act of 2005,R,2005-02-16,,,6,6,0,0,Congress,Continuity in Representation Act of 2005 - (Sec. 2) Amends Federal law concerning the election of Senators and Representatives to require States to hold special elections for the House of Representatives within 49 days after a vacancy is announced by the Speaker of the House in the extraordinary circumstance that vacancies in representation from the States exceed 100. Waives the 49-day requirement if during the 75-day period beginning on the date of the vacancy announcement a regularly sche...,40,4
31,HRES133,Providing amounts from the applicable accounts of the House of Representatives for continuing expenses of standing and select committees of the House from April 1 2005 through April 30 2005.,,R,2005-03-02,,,0,0,0,0,Congress,Makes available from the applicable accounts of the House of Representatives necessary amounts for continuing expenses of standing and select committees of the House including the Committee on Homeland Security between April 1 and April 30 2005 on the same terms and conditions as amounts were available to such committees between January 3 and March 31 2005.,8,1
32,HRES122,Expressing the sense of the House of Representatives regarding the study of languages and supporting the designation of a Year of Languages.,,D,2005-02-17,,,1,1,0,0,Commemorations,Declares the sense of the House of Representatives that: (1) the study of languages contributes to the intellectual and social development of a student and the economy and security of the United States; (2) there should be a Year of Languages in the United States during which language study is promoted and expanded in schools businesses and government programs; and (3) the President should issue a proclamation calling upon the people of the United States to encourage and support initiative...,8,1
33,HR3,To authorize funds for Federal-aid highways highway safety programs and transit programs and for other purposes.,Safe Accountable Flexible Efficient Transportation Equity Act: A Legacy for Users,R,2005-02-09,,,79,40,40,0,Transportation and public works,Safe Accountable Flexible Efficient Transportation Equity Act: A Legacy for Users or SAFETEA-LU - Title I: Federal-Aid Highways - Subtitle A: Authorization of Programs - (Sec. 1101) Authorizes appropriations through FY2009 for highway programs out of the Highway Trust Fund (HTF) including: (1) the Interstate maintenance program; (2) the National Highway System (NHS); (3) the bridge program; (4) the surface transportation program; (5) the congestion mitigation and air quality improvement p...,125,24
34,HRES135,Providing for the establishment of a commission in the House of Representatives to assist parliaments in emerging democracies.,House Democracy Assistance Commission Resolution,R,2005-03-03,,,55,32,23,0,International affairs,House Democracy Assistance Commission Resolution - Establishes in the House of Representatives a House Democracy Assistance Commission to: (1) work with the parliaments of selected countries that have established or are developing democratic parliaments which would benefit from assistance under this resolution; (2) enable Members officers and staff of the House of Representatives and congressional support agencies to provide expert advice to members and staff of the parliaments of such coun...,9,1
35,HRES101,Urging the European Union to add Hezbollah to the European Union's wide-ranging list of terrorist organizations.,,R,2005-02-15,,,75,31,45,0,International affairs,Urges the European Union (EU) to classify Hezbollah as a terrorist organization for purposes of prohibiting EU funding to Hezbollah and recognizing it as a threat to international security. Condemns: (1) the terrorist attacks perpetrated by Hezbollah; and (2) Hezbollah's continuous support of Palestinian terrorist organizations on the EU terrorist list such as the Al Aqsa Martyrs Brigade Hamas the Palestinian Islamic Jihad and the Popular Front for the Liberation of Palestine.,13,1
36,S384,A bill to extend the existence of the Nazi War Crimes and Japanese Imperial Government Records Interagency Working Group for 2 years.,,R,2005-02-15,,,9,7,2,0,Government operations and politics,Amends the Japanese Imperial Government Disclosure Act of 2000 to extend from four to six years the existence of the Nazi War Crimes and Japanese Imperial Government Records Interagency Working Group.,19,1
37,HRES151,Providing for consideration of the bill (H.R. 1268) making emergency supplemental appropriations for the fiscal year ending September 30 2005 and for other purposes.,,R,2005-03-14,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 1268) making emergency supplemental appropriations for the fiscal year ending September 30 2005.,7,1
38,HRES153,Raising a question of the privileges of the House.,,D,2005-03-15,,,0,0,0,0,Congress,Requires the Speaker of the House of Representatives to appoint a bi-partisan task force with equal representation of the majority and minority parties to: (1) make recommendations to restore public confidence in the ethics process; and (2) report its findings and recommendations to the House by May 2 2005.,3,1
39,HR1268,An act making Emergency Supplemental Appropriations for Defense the Global War on Terror and Tsunami Relief for the fiscal year ending September 30 2005 and for other purposes.,Emergency Supplemental Appropriations Act for Defense the Global War on Terror and Tsunami Relief 2005,R,2005-03-11,,,0,0,0,0,Economics and public finance,Emergency Supplemental Appropriations Act for Defense the Global War on Terror and Tsunami Relief 2005 - Division A: Emergency Supplemental Appropriations Act for Defense the Global War on Terror and Tsunami Relief 2005 - Title I: Defense-Related Appropriations - Makes emergency supplemental appropriations for FY 2005 for the Department of Defense (DOD) for: (1) military personnel; (2) operation and maintenance (O&amp;M); (3) the Afghanistan Security Forces Fund; (4) the Iraq Security F...,110,31
40,HRES154,Providing for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006 revising appropriate budgetary levels for fiscal year 2005 and setting forth appropriate budgetary levels for fiscal years 2007 through 2010.,,R,2005-03-15,,,0,0,0,0,Congress,Sets forth the rule for consideration of the concurrent resolution (H. Con. Res. 95) establishing the congressional budget for the United States Government for fiscal year 2006 revising appropriate budgetary levels for fiscal year 2005 and setting forth appropriate budgetary levels for fiscal years 2007 through 2010.,8,2
41,HR1270,To amend the Internal Revenue Code of 1986 to extend the Leaking Underground Storage Tank Trust Fund financing rate.,,R,2005-03-14,,,0,0,0,0,Taxation,Amends the Internal Revenue Code to extend until October 1 2005 the Leaking Underground Storage Tank Trust Fund financing rate.,14,1
42,HCONRES98,Expressing the grave concern of Congress regarding the recent passage of the anti-secession law by the National People's Congress of the People's Republic of China.,,R,2005-03-15,,,13,11,2,0,International affairs,Expresses the sense of Congress that: (1) the anti-secession law of the People's Republic of China (PRC) provides a legal justification for the use of force against Taiwan altering the status quo in the region and thus is of grave concern to the United States; (2) the President of the United States should direct all appropriate U.S. officials to reflect the grave concern with which the United States views the passage of China's anti-secession law in particular and the growing Chinese milit...,9,1
43,HCONRES95,Establishing the congressional budget for the United States Government for fiscal year 2006 revising appropriate budgetary levels for fiscal year 2005 and setting forth appropriate budgetary levels for fiscal years 2007 through 2010.,,R,2005-03-11,,,0,0,0,0,Economics and public finance,Sets forth the congressional budget for the Federal Government for FY 2006 including the appropriate budgetary levels for FY 2005 through 2010. Title I: Recommended Levels and Amounts - (Sec. 101) Lists recommended budgetary levels and amounts for FY 2005 through 2010 with respect to: (1) Federal revenues; (2) new budget authority; (3) budget outlays; (4) deficits (on-budget); (5) debt subject to limit; and (6) debt held by the public. (Sec. 102) Lists the appropriate levels of new budget ...,57,9
44,HCONRES32,Expressing the grave concern of Congress regarding the occupation of the Lebanese Republic by the Syrian Arab Republic.,,R,2005-01-26,,,33,19,15,0,International affairs,Expresses the sense of Congress that: (1) the Lebanese Republic is a captive country; (2) the occupation of Lebanon by Syria represents a long-term threat to the security of the Middle East and to U.S. efforts to promote regional political and economic liberalization and this issue should be raised by the President and the Secretary of State in all appropriate bilateral and multilateral forums; (3) it should be U.S. policy to support human rights and pro-democracy advocates in Lebanon and se...,14,1
45,HCONRES18,Expressing the grave concern of Congress regarding the continuing gross violations of human rights and civil liberties of the Syrian and Lebanese people by the Government of the Syrian Arab Republic.,,R,2005-01-06,,,36,18,19,0,International affairs,Condemns the consistent pattern of gross human rights violations by the Government of the Syrian Arab Republic. Calls on the international community to adopt a resolution at the upcoming session of the United Nations (UN) Commission on Human Rights which details the dismal human rights record of Syria. Expresses congressional support for the Syrian people in their struggle for freedom respect for human rights and civil liberties democratic self-governance and the establishment of the rule ...,16,1
46,S686,A bill to provide for the relief of the parents of Theresa Marie Schiavo.,,R,2005-03-20,,,2,2,0,0,Law,Grants jurisdiction to the U.S. District Court for the Middle District of Florida to hear determine and render judgment on a suit or claim by or on behalf of Theresa Marie Schiavo (Ms. Schiavo) for the alleged violation of any right of hers under the U.S. Constitution or laws relating to the withholding or withdrawal of food fluids or medical treatment necessary to sustain her life. Grants standing to any parent of Ms. Schiavo to bring a suit under this Act. Allows suit to be brought agai...,14,1
47,HRES108,Commemorating the life of the late Zurab Zhvania Prime Minister of the Republic of Georgia.,,R,2005-02-16,,,28,12,16,0,International affairs,Expresses: (1) deepest condolences to the family of Zurab Zhvania for their tragic loss and to the people of the Republic of Georgia for the death of their Prime Minister; and (2) solidarity with the people and Government of the Republic of Georgia at this difficult time. Commends the courage and leadership of Zurab Zhvania that were so critical to the development of a democratic Republic of Georgia. Recognizes that the Republic of Georgia's integration into Euro-Atlantic institutions will b...,10,1
48,HRES120,Commending the outstanding efforts by members of the Armed Forces and civilian employees of the Department of State and the United States Agency for International Development in response to the earthquake and tsunami of December 26 2004.,,D,2005-02-17,,,49,11,39,0,International affairs,Commends the outstanding efforts in response to the earthquake and tsunami of December 26 2004 by members of the Armed Forces and civilian employees of the Department of State and the U.S. Agency for International Development. Recognizes that the actions of these individuals went above and beyond the call of duty and thanks them for their service.,13,1
49,HCONRES34,Honoring the life and contributions of Yogi Bhajan a leader of Sikhs and expressing condolences to the Sikh community on his passing.,,D,2005-01-26,,,37,10,27,0,Commemorations,Honors the life and accomplishments of Yogi Bhajan on behalf of the Sikh community. Extends condolences to his wife children grandchildren and the Sikh communities around the world on his death on October 6 2004.,13,1
50,HRES190,Honoring the life and achievements of His Holiness Pope John Paul II and expressing profound sorrow on his death.,,R,2005-04-06,,,0,0,0,0,International affairs,Honors the life and work of Pope John Paul II. Expresses condolences to the people of Poland for the loss of such an inspirational figure in Poland's political transformation. Extends sympathy to Catholics around the world who looked to the Pope as Supreme Pontiff. Calls upon the people of the United States to reflect on the Pope's life during the worldwide period of remembrance following his death.,6,1
51,HRES148,Supporting the goals and ideals of Financial Literacy Month and for other purposes.,,R,2005-03-10,,,82,43,38,0,Commemorations,States that the House of Representatives: (1) supports the goals and ideals of Financial Literacy Month; and (2) requests that the President issue a proclamation calling on the Federal Government States localities schools nonprofit organizations businesses other entities and the people of the United States to observe the month with appropriate programs and activities.,10,1
52,HR135,"To establish the ""Twenty-First Century Water Commission"" to study and develop recommendations for a comprehensive water strategy to address future water needs.",Twenty-First Century Water Commission Act of 2005,R,2005-01-04,,,20,12,8,0,Water resources development,Twenty-First Century Water Commission Act of 2005 - Establishes the Twenty-First Century Water Commission to: (1) project future water supply and demand; (2) study current water management programs of federal interstate state and local agencies and private sector entities directed at increasing water supplies and improving the availability reliability and quality of freshwater resources; and (3) consult with representatives of such agencies and entities to develop recommendations for a c...,14,1
53,HR541,To direct the Secretary of Agriculture to convey certain land to Lander County Nevada and the Secretary of the Interior to convey certain land to Eureka County Nevada for continued use as cemeteries.,,R,2005-02-02,,,0,0,0,0,Public lands and natural resources,Directs the Secretary of Agriculture to convey certain land to Lander County Nevada and the Secretary of the Interior to convey certain land to Eureka County Nevada for continued cemetery use. Permits the lands to be used for purposes other than as cemeteries upon a determination by the relevant Secretary that such use is in the interests of the United States.,17,1
54,HR1463,"To designate a portion of the Federal building located at 2100 Jamieson Avenue in Alexandria Virginia as the ""Justin W. Williams United States Attorney's Building"".",,R,2005-04-05,,,12,9,3,0,Commemorations,Designates as the Justin W. Williams United States Attorney's Building that portion of the federal building located at 2100 Jamieson Avenue in Alexandria Virginia that is attached to the Federal building's main tower structure described as A-Wing in the architectural plans and currently occupied by the Office of the United States Attorney for the Eastern District of Virginia Alexandria Division. Authorizes appropriations.,19,1
55,HR787,"To designate the United States courthouse located at 501 I Street in Sacramento California as the ""Robert T. Matsui United States Courthouse"".",,D,2005-02-10,,,39,10,29,0,Commemorations,"((This measure has not been amended since it was introduced. The summary of that version is repeated here.) Designates the U.S. courthouse at 501 I Street in Sacramento California as the ""Robert T. Matsui United States Courthouse.""",15,1
56,HRES202,Providing for consideration of the bill (H.R. 8) to make the repeal of the estate tax permanent.,,R,2005-04-12,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 8) to make the repeal of the estate tax permanent.,10,1
57,HR8,To make the repeal of the estate tax permanent.,Death Tax Repeal Permanency Act of 2005,R,2005-02-17,,,206,190,16,0,Taxation,Death Tax Repeal Permanency Act of 2005 - Declares that the sunset provisions of the Economic Growth and Tax Relief Reconciliation Act of 2001 which terminate its application to estates of decedents dying gifts made or generation skipping transfers after December 31 2010 shall not in fact apply to title V of such Act which repeals estate and generation-skipping transfer taxes. (Thus makes the repeal of such taxes permanent.),23,3
58,HRES211,Providing for consideration of the bill (S. 256) to amend title 11 of the United States Code and for other purposes.,,R,2005-04-13,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (S. 256) to amend title 11 of the United States Code.,9,2
59,HRES213,Raising a question of the privileges of the House.,,D,2005-04-14,,,0,0,0,0,Congress,Requires the Speaker of the House of Representatives to: (1) appoint a bipartisan task force with equal representation of the majority and minority parties to make recommendations to restore public confidence in the ethics process; and (2) report its findings and recommendations to the House by June 1 2005.,3,1
60,S256,A bill to amend title 11 of the United States Code and for other purposes.,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,R,2005-02-01,,,12,10,2,0,Finance and financial sector,Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 - Title I: Needs-Based Bankruptcy - (Sec. 101) Amends Federal bankruptcy law to revamp guidelines governing dismissal or conversion of a Chapter 7 liquidation (complete relief in bankruptcy) to one under either Chapter 11 (Reorganization) or Chapter 13 (Adjustment of Debts of an Individual with Regular Income). Permits the bankruptcy court to convert a Chapter 7 case to either Chapter 11 or 13 with a debtor's consent. (Current la...,45,33
61,HR683,To amend the Trademark Act of 1946 with respect to dilution by blurring or tarnishment.,Trademark Dilution Revision Act of 2006,R,2005-02-09,,,0,0,0,0,Commerce,Trademark Dilution Revision Act of 2006 - Amends the Trademark Act of 1946 to revise provisions relating to trademark dilution. Entitles an owner of a famous mark that is distinctive to an injunction against another person who commences use of a mark of trade name after it has become famous in commerce in a manner that is likely to cause dilution by blurring or tarnishment regardless of the presence or absence of actual or likely confusion competition or actual economic injury. Defines a...,31,1
