,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
0,HRES5,Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending September 30 2019 and for other purposes; and providing for consideration of the joint resolution (H.J. Res. 1) making further continuing appropriations for the Department of Homeland Security for fiscal year 2019 and for other purposes.,Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending Septemb,D,2019-01-03,,,0,0,0,0,Congress,This resolution sets forth the rule for consideration of H.Res. 6 (adopting the Rules of the House of Representatives for the 116th Congress) H.R. 21 (Consolidated Appropriations Act 2019) and H.J.Res. 1 (FY2019 Department of Homeland Security appropriations).,12,4
1,HRES6,Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress and for other purposes.,Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress and for other purposes.,D,2019-01-03,,,0,0,0,0,Congress,This resolution adopts the Rules of the House of Representatives for the 116th Congress. The resolution adopts the rules of the 115th Congress with amendments that include  allowing Delegates and the Resident Commissioner to vote in the Committee of the Whole; revising annual ethics training requirements; providing mandatory anti-harassment and anti-discrimination policies for House offices; prohibiting Members officers and employees of the House from serving as an officer or director of a ...,22,3
2,HJRES1,Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019 and for other purposes.,Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019 and for other purposes.,D,2019-01-03,,,0,0,0,0,Economics and Public Finance,This joint resolution provides continuing FY2019 appropriations for the Department of Homeland Security (DHS) through the earlier of February 8 2019 or the enactment of the applicable appropriations legislation.  It is known as a continuing resolution (CR) and ends the partial DHS shutdown that began on December 22 2018 because the existing CR expired and the FY2019 DHS appropriations bill has not been enacted.  The CR also  compensates DHS employees furloughed as a result of any lapse in...,21,2
3,HR21,Making appropriations for the fiscal year ending September 30 2019 and for other purposes.,Consolidated Appropriations Act 2019,D,2019-01-03,,,0,0,0,0,Economics and Public Finance,Consolidated Appropriations Act 2019  This bill provides FY2019 appropriations for several federal departments and agencies. It includes 6 of the 12 regular FY2019 appropriations bills:    the Department of the Interior Environment and Related Agencies Appropriations Act 2019;   the Financial Services and General Government Appropriations Act 2019;  the Agriculture Rural Development Food and Drug Administration and Related Agencies Appropriations Act 2019;   the Transportation Housi...,17,2
4,HR269,To reauthorize certain programs under the Public Health Service Act and the Federal Food Drug and Cosmetic Act with respect to public health security and all-hazards preparedness and response to clarify the regulatory framework with respect to certain nonprescription drugs that are marketed without an approved drug application and for other purposes.,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019,D,2019-01-08,,,7,4,3,0,Health,Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019 This bill (1) reauthorizes revises and establishes several programs and entities relating to public-health emergency preparedness and response; and (2) addresses the approval process for over-the counter (OTC) drugs. Among other programs the bill reauthorizes through FY2023 and revises  the Public Health Emergency Preparedness cooperative-agreement program administered by the Centers for Disease Control and Preventi...,13,1
5,HR251,To extend by two years the Chemical Facility Anti-Terrorism Standards Program of the Department of Homeland Security and for other purposes.,Chemical Facility Anti-Terrorism Standards Program Extension Act,D,2019-01-04,2019-01-18,,7,4,3,0,Emergency Management,Chemical Facility Anti-Terrorism Standards Program Extension Act This bill extends by 15 months the Department of Homeland Security's Chemical Facility Anti-Terrorism Standards Program.,26,1
6,HRES28,Providing for consideration of the bill (H.R. 264) making appropriations for financial services and general government for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 265) making appropriations for Agriculture Rural Development Food and Drug Administration and Related Agencies programs for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 266) making appropriations for the Department of the Interior environment and related agencies for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 267) making appropriations for the Department of Transportation and Housing and Urban Development and related agencies for the fiscal year ending September 30 2019 and for other purposes; and waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.,Providing for consideration of the bill (H.R. 264) making appropriations for financial services and general government for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 265) making appropr,D,2019-01-08,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 264) making appropriations for financial services and general government for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 265) making appropriations for Agriculture Rural Development Food and Drug Administration and Related Agencies programs for the fiscal year ending September 30 2019 and for other purposes; providing for consideration of the bill (H.R. 266) making...,11,2
7,HR226,To amend the Small Business Act to include best in class designations in the annual report on small business goals prepared by the Administrator of the Small Business Administration and for other purposes.,Clarity on Small Business Participation in Category Management Act of 2019,D,2019-01-03,,,3,1,2,0,Commerce,Clarity on Small Business Participation in Category Management Act of 2019 This bill revises the Small Business Administration's reporting requirements to the President and to Congress on procurement contracts to include spending data in each best in class designation (highest current industry performance level) and the number of and total contract amounts awarded to (1) qualified Historically Underutilized Business Zone (HUBZone) small businesses (2) small businesses owned and controlled by...,13,1
8,HR264,Making appropriations for financial services and general government for the fiscal year ending September 30 2019 and for other purposes.,Financial Services and General Government Appropriations Act 2019,D,2019-01-08,,,0,0,0,0,Economics and Public Finance,Highlights  This bill provides FY2019 appropriations to agencies responsible for    regulating the financial telecommunications and consumer products industries;  collecting taxes and assisting taxpayers;   managing federal buildings and the federal workforce; and   operating the Executive Office of the President the judiciary and the District of Columbia.   Full Summary  Financial Services and General Government Appropriations Act 2019  TITLE I--DEPARTMENT OF THE TREASURY  Department of...,20,2
9,HR267,Making appropriations for the Department of Transportation and Housing and Urban Development and related agencies for the fiscal year ending September 30 2019 and for other purposes.,Transportation Housing and Urban Development and Related Agencies Appropriations Act 2019,D,2019-01-08,,,0,0,0,0,Economics and Public Finance,Highlights This bill provides FY2019 appropriations for the Department of Transportation (DOT) the Department of Housing and Urban Development (HUD) and several related agencies.  The bill includes both discretionary and mandatory funding. The HUD budget is primarily discretionary spending and most of the DOT budget is mandatory spending in the form of contract authority from the Highway Trust Fund.  Full Summary Transportation Housing and Urban Development and Related Agencies Appropri...,20,2
